index,word,fixation_order,samples_duration_in_fixations,total_fixations,total_duration_samples_in_fixation,count_letters,count_fixation_normalized
502,Geological,[],{},0,0,10,0.0
503,Survey,[],{},0,0,6,0.0
504,director,[],{},0,0,8,0.0
505,Dalas,[],{},0,0,5,0.0
506,Peck,[],{},0,0,4,0.0
507,said.,[],{},0,0,5,0.0
508,``The,[],{},0,0,5,0.0
509,question,[],{},0,0,8,0.0
510,is,[],{},0,0,2,0.0
511,not,[],{},0,0,3,0.0
512,whether,[],{},0,0,7,0.0
513,a,[],{},0,0,1,0.0
514,big,[],{},0,0,3,0.0
515,earthquake,[],{},0,0,10,0.0
516,is,[],{},0,0,2,0.0
517,coming.,[],{},0,0,7,0.0
518,The,[],{},0,0,3,0.0
519,question,[],{},0,0,8,0.0
520,is,[],{},0,0,2,0.0
521,"when,''",[],{},0,0,7,0.0
522,Peck,[],{},0,0,4,0.0
523,said.,[],{},0,0,5,0.0
